ID,Topico,Pergunta,Alt_A,Alt_B,Alt_C,Alt_D,Resposta_Correta,Explicacao,Sua_Resposta,Confianca,Data_Resposta
11,1. Planejar Ambiente,Qual é o benefício de usar um catalogo de dados em um ambiente de engenharia de dados?,Melhoria da segurança dos dados,Aumento da performance dos dados,Fornecimento de uma visão centralizada dos dados,Redução dos custos de armazenamento de dados,C,"Um catalogo de dados fornece uma visão centralizada dos dados, permitindo que os usuários encontrem, entendam e acessem os dados de forma mais eficiente, melhorando a colaboração e a tomada de decisões.",,,
12,1. Planejar Ambiente,Um time de engenharia de dados está planejando um ambiente de desenvolvimento de dados. Qual é o fator mais importante a considerar ao escolher uma ferramenta de desenvolvimento de dados?,A capacidade de suportar diferentes linguagens de programação,A integração com outras ferramentas de desenvolvimento,A facilidade de uso e aprendizado,A capacidade de escalabilidade e flexibilidade,A,"A capacidade de suportar diferentes linguagens de programação é fundamental para um ambiente de desenvolvimento de dados, pois permite que os desenvolvedores usem as linguagens mais adequadas para as suas necessidades específicas.",,,
13,1. Planejar Ambiente,Qual é o objetivo principal de um plano de backup e recuperação de dados em um ambiente de engenharia de dados?,Garantir a segurança dos dados,Melhorar a performance dos dados,Prevenir perdas de dados e garantir a recuperação em caso de falha,Reduzir os custos de armazenamento de dados,C,"Um plano de backup e recuperação de dados visa prevenir perdas de dados e garantir a recuperação em caso de falha, minimizando o impacto de desastres e garantindo a continuidade dos negócios.",,,
14,1. Planejar Ambiente,Um time de engenharia de dados está planejando um ambiente de testes de dados. Qual é o fator mais importante a considerar ao escolher uma ferramenta de testes de dados?,A capacidade de simular diferentes cargas de trabalho,A integração com outras ferramentas de desenvolvimento,A facilidade de uso e aprendizado,A capacidade de automatizar testes de dados,A,"A capacidade de simular diferentes cargas de trabalho é fundamental para um ambiente de testes de dados, pois permite que os desenvolvedores testem a performance e a escalabilidade das soluções de dados em diferentes cenários.",,,
15,1. Planejar Ambiente,Qual é o benefício de usar um modelo de dados em um ambiente de engenharia de dados?,Melhoria da segurança dos dados,Aumento da performance dos dados,Fornecimento de uma estrutura para a organização dos dados,Redução dos custos de armazenamento de dados,C,"Um modelo de dados fornece uma estrutura para a organização dos dados, permitindo que os desenvolvedores criem soluções de dados mais eficientes e escaláveis, e melhorando a comunicação entre as equipes.",,,
16,1. Planejar Ambiente,Um time de engenharia de dados está planejando um ambiente de deploy de dados. Qual é o fator mais importante a considerar ao escolher uma ferramenta de deploy de dados?,A capacidade de automatizar o deploy de dados,A integração com outras ferramentas de desenvolvimento,A facilidade de uso e aprendizado,A capacidade de escalabilidade e flexibilidade,A,"A capacidade de automatizar o deploy de dados é fundamental para um ambiente de deploy de dados, pois permite que os desenvolvedores liberem as soluções de dados de forma rápida e confiável, minimizando o tempo de inatividade e melhorando a eficiência.",,,
17,1. Planejar Ambiente,Qual é o objetivo principal de um plano de monitoramento de dados em um ambiente de engenharia de dados?,Garantir a segurança dos dados,Melhorar a performance dos dados,Detectar e resolver problemas de dados em tempo real,Reduzir os custos de armazenamento de dados,C,"Um plano de monitoramento de dados visa detectar e resolver problemas de dados em tempo real, garantindo que as soluções de dados estejam funcionando corretamente e minimizando o impacto de falhas ou problemas.",,,
18,1. Planejar Ambiente,Um time de engenharia de dados está planejando um ambiente de armazenamento de dados. Qual é o fator mais importante a considerar ao escolher um sistema de armazenamento de dados?,A capacidade de armazenamento,A velocidade de leitura e gravação dos dados,A segurança e privacidade dos dados,A escalabilidade e flexibilidade do sistema,D,"A escalabilidade e flexibilidade do sistema de armazenamento de dados são fundamentais para um ambiente de armazenamento de dados, pois permitem que o sistema seja adaptado às necessidades cambiantes dos negócios e garantam que os dados estejam sempre disponíveis.",,,
19,1. Planejar Ambiente,Qual é o benefício de usar um serviço de dados em um ambiente de engenharia de dados?,Melhoria da segurança dos dados,Aumento da performance dos dados,Fornecimento de uma camada de abstração para os dados,Redução dos custos de armazenamento de dados,C,"Um serviço de dados fornece uma camada de abstração para os dados, permitindo que os desenvolvedores acessem os dados de forma mais fácil e segura, e melhorando a colaboração entre as equipes.",,,
20,1. Planejar Ambiente,Um time de engenharia de dados está planejando um ambiente de qualidade de dados. Qual é o fator mais importante a considerar ao escolher uma ferramenta de qualidade de dados?,A capacidade de detectar erros de dados,A integração com outras ferramentas de desenvolvimento,A facilidade de uso e aprendizado,A capacidade de automatizar a limpeza de dados,A,"A capacidade de detectar erros de dados é fundamental para um ambiente de qualidade de dados, pois permite que os desenvolvedores identifiquem e corrijam problemas de dados de forma eficiente, garantindo a precisão e confiabilidade dos dados.",,,
21,2. Ingestão de Dados,Uma empresa de varejo deseja ingerir dados de vendas de várias lojas para um data warehouse na nuvem. Qual é o melhor método para realizar essa ingestão de dados?,Utilizar o Azure Data Factory (ADF) com conectores de banco de dados,Utilizar o Azure Databricks com Apache Spark,Utilizar o Azure Functions com HTTP Request,Utilizar o Azure Storage com AzCopy,A,"O Azure Data Factory (ADF) é uma ferramenta de integração de dados que permite ingerir dados de várias fontes, incluindo bancos de dados, para um data warehouse na nuvem. É a opção mais adequada para essa tarefa.",,,
22,2. Ingestão de Dados,Um desenvolvedor de dados está tentando ingerir dados de um arquivo CSV armazenado no Azure Blob Storage para um Azure Synapse Analytics. Qual é o melhor método para realizar essa ingestão de dados?,Utilizar o Azure Data Factory (ADF) com o conector CSV,Utilizar o Azure Databricks com Apache Spark,Utilizar o Azure Functions com HTTP Request,Utilizar o Azure Storage com AzCopy,A,"O Azure Data Factory (ADF) é uma ferramenta de integração de dados que permite ingerir dados de várias fontes, incluindo arquivos CSV armazenados no Azure Blob Storage, para um Azure Synapse Analytics.",,,
23,2. Ingestão de Dados,Uma empresa de saúde deseja ingerir dados de pacientes de um sistema de registro de saúde eletrônica (EHR) para um data warehouse na nuvem. Qual é o melhor método para realizar essa ingestão de dados?,Utilizar o Azure API Management com API REST,Utilizar o Azure Data Factory (ADF) com conector de banco de dados,Utilizar o Azure Databricks com Apache Spark,Utilizar o Azure Functions com HTTP Request,B,"O Azure Data Factory (ADF) é uma ferramenta de integração de dados que permite ingerir dados de várias fontes, incluindo bancos de dados de EHR, para um data warehouse na nuvem.",,,
24,2. Ingestão de Dados,Um desenvolvedor de dados está tentando ingerir dados de um feed de dados em tempo real de um sistema de IoT para um Azure Cosmos DB. Qual é o melhor método para realizar essa ingestão de dados?,Utilizar o Azure Data Factory (ADF) com conector de IoT,Utilizar o Azure Databricks com Apache Spark,Utilizar o Azure Functions com HTTP Request,Utilizar o Azure Stream Analytics,D,O Azure Stream Analytics é uma ferramenta de processamento de dados em tempo real que permite ingerir dados de feeds de dados em tempo real de sistemas de IoT para um Azure Cosmos DB.,,,
25,2. Ingestão de Dados,Uma empresa de finanças deseja ingerir dados de transações financeiras de um sistema de gestão de transações para um data warehouse na nuvem. Qual é o melhor método para realizar essa ingestão de dados?,Utilizar o Azure Data Factory (ADF) com conector de banco de dados,Utilizar o Azure Databricks com Apache Spark,Utilizar o Azure Functions com HTTP Request,Utilizar o Azure Logic Apps com conector de banco de dados,A,"O Azure Data Factory (ADF) é uma ferramenta de integração de dados que permite ingerir dados de várias fontes, incluindo bancos de dados de transações financeiras, para um data warehouse na nuvem.",,,
26,2. Ingestão de Dados,Um desenvolvedor de dados está tentando ingerir dados de um arquivo JSON armazenado no Azure File Storage para um Azure Synapse Analytics. Qual é o melhor método para realizar essa ingestão de dados?,Utilizar o Azure Data Factory (ADF) com o conector JSON,Utilizar o Azure Databricks com Apache Spark,Utilizar o Azure Functions com HTTP Request,Utilizar o Azure Storage com AzCopy,A,"O Azure Data Factory (ADF) é uma ferramenta de integração de dados que permite ingerir dados de várias fontes, incluindo arquivos JSON armazenados no Azure File Storage, para um Azure Synapse Analytics.",,,
27,2. Ingestão de Dados,Uma empresa de varejo deseja ingerir dados de vendas de várias lojas para um Azure Cosmos DB. Qual é o melhor método para realizar essa ingestão de dados?,Utilizar o Azure Data Factory (ADF) com conector de banco de dados,Utilizar o Azure Databricks com Apache Spark,Utilizar o Azure Functions com HTTP Request,Utilizar o Azure Storage com AzCopy,A,"O Azure Data Factory (ADF) é uma ferramenta de integração de dados que permite ingerir dados de várias fontes, incluindo bancos de dados de vendas, para um Azure Cosmos DB.",,,
28,2. Ingestão de Dados,Um desenvolvedor de dados está tentando ingerir dados de um feed de dados em tempo real de um sistema de IoT para um Azure Storage. Qual é o melhor método para realizar essa ingestão de dados?,Utilizar o Azure Data Factory (ADF) com conector de IoT,Utilizar o Azure Databricks com Apache Spark,Utilizar o Azure Functions com HTTP Request,Utilizar o Azure Stream Analytics,D,O Azure Stream Analytics é uma ferramenta de processamento de dados em tempo real que permite ingerir dados de feeds de dados em tempo real de sistemas de IoT para um Azure Storage.,,,
29,2. Ingestão de Dados,Uma empresa de saúde deseja ingerir dados de pacientes de um sistema de registro de saúde eletrônica (EHR) para um Azure Storage. Qual é o melhor método para realizar essa ingestão de dados?,Utilizar o Azure API Management com API REST,Utilizar o Azure Data Factory (ADF) com conector de banco de dados,Utilizar o Azure Databricks com Apache Spark,Utilizar o Azure Functions com HTTP Request,B,"O Azure Data Factory (ADF) é uma ferramenta de integração de dados que permite ingerir dados de várias fontes, incluindo bancos de dados de EHR, para um Azure Storage.",,,
30,2. Ingestão de Dados,Um desenvolvedor de dados está tentando ingerir dados de um arquivo CSV armazenado no Azure Data Lake Storage para um Azure Synapse Analytics. Qual é o melhor método para realizar essa ingestão de dados?,Utilizar o Azure Data Factory (ADF) com o conector CSV,Utilizar o Azure Databricks com Apache Spark,Utilizar o Azure Functions com HTTP Request,Utilizar o Azure Storage com AzCopy,A,"O Azure Data Factory (ADF) é uma ferramenta de integração de dados que permite ingerir dados de várias fontes, incluindo arquivos CSV armazenados no Azure Data Lake Storage, para um Azure Synapse Analytics.",,,
31,2. Ingestão de Dados,Uma empresa de finanças deseja ingerir dados de transações financeiras de um sistema de gestão de transações para um Azure Cosmos DB. Qual é o melhor método para realizar essa ingestão de dados?,Utilizar o Azure Data Factory (ADF) com conector de banco de dados,Utilizar o Azure Databricks com Apache Spark,Utilizar o Azure Functions com HTTP Request,Utilizar o Azure Logic Apps com conector de banco de dados,A,"O Azure Data Factory (ADF) é uma ferramenta de integração de dados que permite ingerir dados de várias fontes, incluindo bancos de dados de transações financeiras, para um Azure Cosmos DB.",,,
32,2. Ingestão de Dados,Um desenvolvedor de dados está tentando ingerir dados de um feed de dados em tempo real de um sistema de IoT para um Azure Databricks. Qual é o melhor método para realizar essa ingestão de dados?,Utilizar o Azure Data Factory (ADF) com conector de IoT,Utilizar o Azure Databricks com Apache Spark,Utilizar o Azure Functions com HTTP Request,Utilizar o Azure Stream Analytics,D,O Azure Stream Analytics é uma ferramenta de processamento de dados em tempo real que permite ingerir dados de feeds de dados em tempo real de sistemas de IoT para um Azure Databricks.,,,
33,2. Ingestão de Dados,Uma empresa de varejo deseja ingerir dados de vendas de várias lojas para um Azure Storage. Qual é o melhor método para realizar essa ingestão de dados?,Utilizar o Azure Data Factory (ADF) com conector de banco de dados,Utilizar o Azure Databricks com Apache Spark,Utilizar o Azure Functions com HTTP Request,Utilizar o Azure Storage com AzCopy,A,"O Azure Data Factory (ADF) é uma ferramenta de integração de dados que permite ingerir dados de várias fontes, incluindo bancos de dados de vendas, para um Azure Storage.",,,
34,2. Ingestão de Dados,Um desenvolvedor de dados está tentando ingerir dados de um arquivo JSON armazenado no Azure Blob Storage para um Azure Cosmos DB. Qual é o melhor método para realizar essa ingestão de dados?,Utilizar o Azure Data Factory (ADF) com o conector JSON,Utilizar o Azure Databricks com Apache Spark,Utilizar o Azure Functions com HTTP Request,Utilizar o Azure Storage com AzCopy,A,"O Azure Data Factory (ADF) é uma ferramenta de integração de dados que permite ingerir dados de várias fontes, incluindo arquivos JSON armazenados no Azure Blob Storage, para um Azure Cosmos DB.",,,
35,2. Ingestão de Dados,Uma empresa de saúde deseja ingerir dados de pacientes de um sistema de registro de saúde eletrônica (EHR) para um Azure Databricks. Qual é o melhor método para realizar essa ingestão de dados?,Utilizar o Azure API Management com API REST,Utilizar o Azure Data Factory (ADF) com conector de banco de dados,Utilizar o Azure Databricks com Apache Spark,Utilizar o Azure Functions com HTTP Request,B,"O Azure Data Factory (ADF) é uma ferramenta de integração de dados que permite ingerir dados de várias fontes, incluindo bancos de dados de EHR, para um Azure Databricks.",,,
36,2. Ingestão de Dados,Um desenvolvedor de dados está tentando ingerir dados de um feed de dados em tempo real de um sistema de IoT para um Azure Synapse Analytics. Qual é o melhor método para realizar essa ingestão de dados?,Utilizar o Azure Data Factory (ADF) com conector de IoT,Utilizar o Azure Databricks com Apache Spark,Utilizar o Azure Functions com HTTP Request,Utilizar o Azure Stream Analytics,D,O Azure Stream Analytics é uma ferramenta de processamento de dados em tempo real que permite ingerir dados de feeds de dados em tempo real de sistemas de IoT para um Azure Synapse Analytics.,,,
37,2. Ingestão de Dados,Uma empresa de finanças deseja ingerir dados de transações financeiras de um sistema de gestão de transações para um Azure Databricks. Qual é o melhor método para realizar essa ingestão de dados?,Utilizar o Azure Data Factory (ADF) com conector de banco de dados,Utilizar o Azure Databricks com Apache Spark,Utilizar o Azure Functions com HTTP Request,Utilizar o Azure Logic Apps com conector de banco de dados,A,"O Azure Data Factory (ADF) é uma ferramenta de integração de dados que permite ingerir dados de várias fontes, incluindo bancos de dados de transações financeiras, para um Azure Databricks.",,,
38,2. Ingestão de Dados,Um desenvolvedor de dados está tentando ingerir dados de um arquivo CSV armazenado no Azure Data Lake Storage para um Azure Cosmos DB. Qual é o melhor método para realizar essa ingestão de dados?,Utilizar o Azure Data Factory (ADF) com o conector CSV,Utilizar o Azure Databricks com Apache Spark,Utilizar o Azure Functions com HTTP Request,Utilizar o Azure Storage com AzCopy,A,"O Azure Data Factory (ADF) é uma ferramenta de integração de dados que permite ingerir dados de várias fontes, incluindo arquivos CSV armazenados no Azure Data Lake Storage, para um Azure Cosmos DB.",,,
39,2. Ingestão de Dados,Uma empresa de varejo deseja ingerir dados de vendas de várias lojas para um Azure Databricks. Qual é o melhor método para realizar essa ingestão de dados?,Utilizar o Azure Data Factory (ADF) com conector de banco de dados,Utilizar o Azure Databricks com Apache Spark,Utilizar o Azure Functions com HTTP Request,Utilizar o Azure Storage com AzCopy,A,"O Azure Data Factory (ADF) é uma ferramenta de integração de dados que permite ingerir dados de várias fontes, incluindo bancos de dados de vendas, para um Azure Databricks.",,,
40,2. Ingestão de Dados,Um desenvolvedor de dados está tentando ingerir dados de um feed de dados em tempo real de um sistema de IoT para um Azure Storage. Qual é o melhor método para realizar essa ingestão de dados?,Utilizar o Azure Data Factory (ADF) com conector de IoT,Utilizar o Azure Databricks com Apache Spark,Utilizar o Azure Functions com HTTP Request,Utilizar o Azure Stream Analytics,D,O Azure Stream Analytics é uma ferramenta de processamento de dados em tempo real que permite ingerir dados de feeds de dados em tempo real de sistemas de IoT para um Azure Storage.,,,
41,3. Transformação Spark,"Um engenheiro de dados está trabalhando com Apache Spark para transformar um conjunto de dados de vendas. O conjunto de dados contém informações sobre o produto, o preço e a quantidade vendida. O engenheiro precisa calcular o total de vendas para cada produto e ordenar os produtos por suas vendas totais em ordem decrescente. Qual é a melhor abordagem para realizar essa tarefa usando Spark?","Usar o método groupBy() para agrupar os dados por produto e calcular o total de vendas, seguido pelo método sortBy() para ordenar os resultados","Usar o método map() para calcular o total de vendas para cada linha e, em seguida, usar o método reduce() para combinar os resultados","Usar o método filter() para selecionar apenas as linhas com vendas não nulas e, em seguida, usar o método aggregate() para calcular o total de vendas","Usar o método join() para combinar os dados de vendas com um conjunto de dados de produtos e, em seguida, usar o método groupBy() para calcular o total de vendas",A,"A resposta correta é A porque o método groupBy() é o mais adequado para agrupar os dados por produto e calcular o total de vendas. Em seguida, o método sortBy() pode ser usado para ordenar os resultados em ordem decrescente. As outras alternativas não são as mais eficientes ou práticas para realizar essa tarefa.",,,
42,3. Transformação Spark,"Um desenvolvedor está trabalhando com Spark SQL para transformar um conjunto de dados de clientes. O conjunto de dados contém informações sobre o nome do cliente, o endereço e a idade. O desenvolvedor precisa criar uma nova coluna que indique se o cliente é maior de idade (mais de 18 anos) ou não. Qual é a melhor maneira de realizar essa tarefa?",Usar o método withColumn() do DataFrame para adicionar uma nova coluna com uma expressão que verifica a idade do cliente,Usar o método select() do DataFrame para selecionar as colunas existentes e adicionar uma nova coluna com uma expressão que verifica a idade do cliente,Usar o método filter() do DataFrame para selecionar apenas as linhas onde a idade do cliente é maior que 18 anos,"Usar o método groupBy() do DataFrame para agrupar os dados por idade e, em seguida, usar o método agg() para calcular a média da idade",A,"A resposta correta é A porque o método withColumn() é o mais adequado para adicionar uma nova coluna a um DataFrame existente. Nesse caso, a expressão pode verificar se a idade do cliente é maior que 18 anos e retornar um valor booleano ou uma string que indique se o cliente é maior de idade ou não.",,,
43,3. Transformação Spark,Um cientista de dados está trabalhando com Spark MLlib para realizar uma análise de clusterização em um conjunto de dados de clientes. O conjunto de dados contém informações sobre o comportamento de compra dos clientes. O cientista precisa aplicar o algoritmo de clusterização K-Means para identificar grupos de clientes com comportamentos semelhantes. Qual é a melhor maneira de realizar essa tarefa?,"Usar o método KMeans() do MLlib para criar um modelo de clusterização e, em seguida, usar o método fit() para treinar o modelo com os dados","Usar o método HierarchicalClustering() do MLlib para criar um modelo de clusterização hierárquico e, em seguida, usar o método fit() para treinar o modelo com os dados","Usar o método DBSCAN() do MLlib para criar um modelo de clusterização baseado em densidade e, em seguida, usar o método fit() para treinar o modelo com os dados","Usar o método GaussianMixture() do MLlib para criar um modelo de mistura de gaussianas e, em seguida, usar o método fit() para treinar o modelo com os dados",A,"A resposta correta é A porque o algoritmo K-Means é um dos mais comuns e eficazes para realizar análise de clusterização. O método KMeans() do MLlib permite criar um modelo de clusterização K-Means e treinar o modelo com os dados usando o método fit(). As outras alternativas também podem ser usadas para clusterização, mas K-Means é a mais adequada para essa tarefa específica.",,,
